QC_DIRECT
Rozmiar zbioru treningowego;F-miara sieci;Odchylenie;F-miara bazy;Odchylenie;Statystycznie lepszy
0,5%;0,7425;0,04954;0,7073;0,02739;NN
0,67%;0,7567;0,06035;0,7015;0,0409;NN
0,75%;0,7739;0,0592;0,6999;0,04649;NN
0,8%;0,7469;0,05644;0,703;0,07122;NN
0,83%;0,7429;0,06283;0,7015;0,05;NN
0,86%;0,753;0,08112;0,7177;0,07156;NN
0,88%;0,7434;0,08613;0,6799;0,06172;NN
0,89%;0,7418;0,08228;0,6924;0,07246;NN
0,9%;0,7909;0,06088;0,6946;0,08276;NN

Liczba „zwycięstw” sieci;9
Liczba „zwycięstw” bazy;0
Liczba porównań nieokreślonych;0
