QC_DECISION
Rozmiar zbioru treningowego;F-miara sieci;Odchylenie;F-miara bazy;Odchylenie;Statystycznie lepszy
5000,00%%;0,9704;0,01309;0,9796;0,009408;B
6666,67%%;0,9739;0,01752;0,9785;0,009841;-
7500,00%%;0,9826;0,0112;0,9831;0,01404;-
8000,00%%;0,9852;0,02248;0,9821;0,01791;-
8333,33%%;0,9875;0,01343;0,9906;0,01371;-
8571,43%%;0,9747;0,03211;0,9865;0,01351;-
8750,00%%;0,971;0,02694;0,9772;0,0211;-
8888,89%%;0,9837;0,02328;0,9895;0,01958;-
9000,00%%;0,9823;0,02305;0,982;0,0199;-

Liczba „zwycięstw” sieci;0
Liczba „zwycięstw” bazy;1
Liczba porównań nieokreślonych;8
